specimen_id,genus,species,ref_pic,locality,formation,min_age,max_age,format,has_scale
SBNM_IT_176,Myoproetus,Myoproetus myops,Snajdr 1980,Koneprusy,Acanthopyge Limestone,Emsian,NA,xml,True
SBNM_IT_177,Unguliproetus,Unguliproetus unguloides,Snajdr 1980,Menany,Suchomasty Limestone,Emsian,NA,xml,True
SBNM_IT_240,Decoroproetus,Decoroproetus coderus,Snajdr 1980,Lodenice,Liten Formation,Wenlock,NA,xml,True
SMF-24417,Struvephacops,Struvephacops werneri,Struve 1995,NA,NA,Emsian,NA,tps,True
SMF-24467,Teichertops,Teichertops soetenicus,Struve 1970,NA,NA,Givetian,NA,tps,True
SMF-24518,Liolophops,Liolophops sublevatus,Struve 1970,NA,NA,Middle Devonian,NA,tps,True
SMF-24603,Arduennops,Arduennops michelsi,Franke 2010,NA,NA,Emsian,NA,tps,True
SMF-49340,Drotops,Drotops megalomanicus,Struve 1995,NA,NA,Givetian,NA,tps,True
SMF-49402,Hypsipariops,Hypsipariops vagabundus,Struve 1995,NA,NA,Givetian,NA,tps,True
SMF-57512,Weyerites,Weyerites wocklumeriae,Crônier and Feist 2000,NA,NA,Famennian,NA,tps,True
SMF-57513,Cryphops,Cryphops cryptophthalmus,Cronier 1999,Sessacker,Bunte Tonschiefer Formation,Famennian,NA,tps,False
SMF-X564e,Spinicryphops,Spinicryphops lemkei,Crônier and Feist 2000,NA,NA,Famennian,NA,tps,True
SMF39104,Digonus,Digonus ornatus ornatus,Wenndorf 1990,Oberstadtfeld,Unterems Gladbachschisten,Lower Devonian,NA,xml,True
SMF_36691,Tawstockia,Tawstockia (Beleckella) nasifrons,Hahn et al. 1994,Liebenstein,Erdbach Limestone,Tournaisian,NA,xml,True
SMF_55937,Belgibole,Belgibole milieuensis,Muller 2000,Tournai,NA,Tournaisian,NA,xml,True
SMF_57451,Helioproetus,Helioproetus carintiacus,Feist et al 2000,Apricke,Wocklum Limestone,Famennian,NA,xml,True
